ANG_ADJ;Angolan;Angolan;Angolan;;;;;;;;;;;x;
ANG;Angola;Angola;Angola;;;;;;;;;;;x;
ANG_proletarian_dictatorship;Angola;Angola;Angola;;;;;;;;;;;x;
ANG_presidential_dictatorship;Angola;Angola;Angola;;;;;;;;;;;x;
ANG_bourgeois_dictatorship;Angola;Angola;Angola;;;;;;;;;;;x;
ANG_fascist_dictatorship;Angola;Angola;Angola;;;;;;;;;;;x;
ANG_absolute_monarchy;Angola;Angola;Angola;;;;;;;;;;;x;
ANG_prussian_constitutionalism;Angola;Angola;Angola;;;;;;;;;;;x;
ANG_hms_government;Angola;Angola;Angola;;;;;;;;;;;x;
ANG_democracy;Angola;Angola;Angola;;;;;;;;;;;x;
ANG_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
ANG_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
ANG_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
ANG_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
ANG_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
ANG_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
ANG_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
ANG_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
ANG_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
