BLT_ADJ;Baltic;Baltic;Baltic;;;;;;;;;;;x;
BLT;Free Baltics;Free Baltics;Free Baltics;;;;;;;;;;;x;
BLT_proletarian_dictatorship;Free Baltics;Free Baltics;Free Baltics;;;;;;;;;;;x;
BLT_presidential_dictatorship;Free Baltics;Free Baltics;Free Baltics;;;;;;;;;;;x;
BLT_bourgeois_dictatorship;Free Baltics;Free Baltics;Free Baltics;;;;;;;;;;;x;
BLT_fascist_dictatorship;Baltic Lebensraum;Baltic Lebensraum;Baltic Lebensraum;;;;;;;;;;;x;
BLT_absolute_monarchy;Free Baltics;Free Baltics;Free Baltics;;;;;;;;;;;x;
BLT_prussian_constitutionalism;Free Baltics;Free Baltics;Free Baltics;;;;;;;;;;;x;
BLT_hms_government;Free Baltics;Free Baltics;Free Baltics;;;;;;;;;;;x;
BLT_democracy;Free Baltics;Free Baltics;Free Baltics;;;;;;;;;;;x;
BLT_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
BLT_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
BLT_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
BLT_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
BLT_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
BLT_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
BLT_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
BLT_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
BLT_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
