BRI_ADJ;Breton;Breton;Breton;;;;;;;;;;;x;
BRI;Brittany;Brittany;Brittany;;;;;;;;;;;x;
BRI_proletarian_dictatorship;Brittany;Brittany;Brittany;;;;;;;;;;;x;
BRI_presidential_dictatorship;Brittany;Brittany;Brittany;;;;;;;;;;;x;
BRI_bourgeois_dictatorship;Brittany;Brittany;Brittany;;;;;;;;;;;x;
BRI_fascist_dictatorship;Brittany;Brittany;Brittany;;;;;;;;;;;x;
BRI_absolute_monarchy;Brittany;Brittany;Brittany;;;;;;;;;;;x;
BRI_prussian_constitutionalism;Brittany;Brittany;Brittany;;;;;;;;;;;x;
BRI_hms_government;Brittany;Brittany;Brittany;;;;;;;;;;;x;
BRI_democracy;Brittany;Brittany;Brittany;;;;;;;;;;;x;
BRI_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
BRI_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
BRI_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
BRI_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
BRI_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
BRI_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
BRI_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
BRI_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
BRI_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
