CAR_ADJ;Central African;Central African;Central African;;;;;;;;;;;x;
CAR;Central African Republic;Central African Republic;Central African Republic;;;;;;;;;;;x;
CAR_proletarian_dictatorship;Central African Republic;Central African Republic;Central African Republic;;;;;;;;;;;x;
CAR_presidential_dictatorship;Central African Republic;Central African Republic;Central African Republic;;;;;;;;;;;x;
CAR_bourgeois_dictatorship;Central African Republic;Central African Republic;Central African Republic;;;;;;;;;;;x;
CAR_fascist_dictatorship;Central African Republic;Central African Republic;Central African Republic;;;;;;;;;;;x;
CAR_absolute_monarchy;Central African Republic;Central African Republic;Central African Republic;;;;;;;;;;;x;
CAR_prussian_constitutionalism;Central African Republic;Central African Republic;Central African Republic;;;;;;;;;;;x;
CAR_hms_government;Central African Republic;Central African Republic;Central African Republic;;;;;;;;;;;x;
CAR_democracy;Central African Republic;Central African Republic;Central African Republic;;;;;;;;;;;x;
CAR_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
CAR_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
CAR_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
CAR_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
CAR_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
CAR_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
CAR_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
CAR_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
CAR_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
