FEU_ADJ;Free;Free;Free;;;;;;;;;;;x;
FEU;Free Europe;Free Europe;Free Europe;;;;;;;;;;;x;
FEU_proletarian_dictatorship;Free Europe;Free Europe;Free Europe;;;;;;;;;;;x;
FEU_presidential_dictatorship;Free Europe;Free Europe;Free Europe;;;;;;;;;;;x;
FEU_bourgeois_dictatorship;Free Europe;Free Europe;Free Europe;;;;;;;;;;;x;
FEU_fascist_dictatorship;Free Europe;Free Europe;Free Europe;;;;;;;;;;;x;
FEU_absolute_monarchy;Free Europe;Free Europe;Free Europe;;;;;;;;;;;x;
FEU_prussian_constitutionalism;Free Europe;Free Europe;Free Europe;;;;;;;;;;;x;
FEU_hms_government;Free Europe;Free Europe;Free Europe;;;;;;;;;;;x;
FEU_democracy;Free Europe;Free Europe;Free Europe;;;;;;;;;;;x;
FEU_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
FEU_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
FEU_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
FEU_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
FEU_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
FEU_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
FEU_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
FEU_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
FEU_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
