GER_ADJ;German;German;German;;;;;;;;;;;x;
GER;Germania;Germania;Germania;;;;;;;;;;;x;
GER_proletarian_dictatorship;Germania;Germania;Germania;;;;;;;;;;;x;
GER_presidential_dictatorship;Germania;Germania;Germania;;;;;;;;;;;x;
GER_bourgeois_dictatorship;Germania;Germania;Germania;;;;;;;;;;;x;
GER_fascist_dictatorship;Germania;Germania;Germania;;;;;;;;;;;x;
GER_absolute_monarchy;Germania;Germania;Germania;;;;;;;;;;;x;
GER_prussian_constitutionalism;Germania;Germania;Germania;;;;;;;;;;;x;
GER_hms_government;Germania;Germania;Germania;;;;;;;;;;;x;
GER_democracy;Germania;Germania;Germania;;;;;;;;;;;x;
GER_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
GER_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
GER_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
GER_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
GER_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
GER_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
GER_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
GER_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
GER_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
