IBE_ADJ;Iberian;Iberian;Iberian;;;;;;;;;;;x;
IBE;Iberian Union;Iberian Union;Iberian Union;;;;;;;;;;;x;
IBE_proletarian_dictatorship;Iberian Union;Iberian Union;Iberian Union;;;;;;;;;;;x;
IBE_presidential_dictatorship;Iberian Union;Iberian Union;Iberian Union;;;;;;;;;;;x;
IBE_bourgeois_dictatorship;Iberian Union;Iberian Union;Iberian Union;;;;;;;;;;;x;
IBE_fascist_dictatorship;Iberian Union;Iberian Union;Iberian Union;;;;;;;;;;;x;
IBE_absolute_monarchy;Iberian Union;Iberian Union;Iberian Union;;;;;;;;;;;x;
IBE_prussian_constitutionalism;Iberian Union;Iberian Union;Iberian Union;;;;;;;;;;;x;
IBE_hms_government;Iberian Union;Iberian Union;Iberian Union;;;;;;;;;;;x;
IBE_democracy;Iberian Union;Iberian Union;Iberian Union;;;;;;;;;;;x;
IBE_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
IBE_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
IBE_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
IBE_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
IBE_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
IBE_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
IBE_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
IBE_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
IBE_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
