MSC_ADJ;Moscowen;Moscowen;Moscowen;;;;;;;;;;;x;
MSC;Free Moscow;Free Moscow;Free Moscow;;;;;;;;;;;x;
MSC_proletarian_dictatorship;Free Moscow;Free Moscow;Free Moscow;;;;;;;;;;;x;
MSC_presidential_dictatorship;Free Moscow;Free Moscow;Free Moscow;;;;;;;;;;;x;
MSC_bourgeois_dictatorship;Free Moscow;Free Moscow;Free Moscow;;;;;;;;;;;x;
MSC_fascist_dictatorship;Moscow Lebensraum;Moscow Lebensraum;Moscow Lebensraum;;;;;;;;;;;x;
MSC_absolute_monarchy;Free Moscow;Free Moscow;Free Moscow;;;;;;;;;;;x;
MSC_prussian_constitutionalism;Free Moscow;Free Moscow;Free Moscow;;;;;;;;;;;x;
MSC_hms_government;Free Moscow;Free Moscow;Free Moscow;;;;;;;;;;;x;
MSC_democracy;Free Moscow;Free Moscow;Free Moscow;;;;;;;;;;;x;
MSC_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
MSC_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
MSC_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
MSC_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
MSC_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
MSC_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
MSC_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
MSC_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
MSC_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
