NAV_ADJ;Kamchatkan;Kamchatkan;Kamchatkan;;;;;;;;;;;x;
NAV;Kamchatka Soviet Fleet;Kamchatka Soviet Fleet;Kamchatka Soviet Fleet;;;;;;;;;;;x;
NAV_proletarian_dictatorship;Kamchatka Soviet Fleet;Kamchatka Soviet Fleet;Kamchatka Soviet Fleet;;;;;;;;;;;x;
NAV_presidential_dictatorship;Kamchatka Soviet Fleet;Kamchatka Soviet Fleet;Kamchatka Soviet Fleet;;;;;;;;;;;x;
NAV_bourgeois_dictatorship;Kamchatka Soviet Fleet;Kamchatka Soviet Fleet;Kamchatka Soviet Fleet;;;;;;;;;;;x;
NAV_fascist_dictatorship;Kamchatka Soviet Fleet;Kamchatka Soviet Fleet;Kamchatka Soviet Fleet;;;;;;;;;;;x;
NAV_absolute_monarchy;Kamchatka Soviet Fleet;Kamchatka Soviet Fleet;Kamchatka Soviet Fleet;;;;;;;;;;;x;
NAV_prussian_constitutionalism;Kamchatka Soviet Fleet;Kamchatka Soviet Fleet;Kamchatka Soviet Fleet;;;;;;;;;;;x;
NAV_hms_government;Kamchatka Soviet Fleet;Kamchatka Soviet Fleet;Kamchatka Soviet Fleet;;;;;;;;;;;x;
NAV_democracy;Kamchatka Soviet Fleet;Kamchatka Soviet Fleet;Kamchatka Soviet Fleet;;;;;;;;;;;x;
NAV_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
NAV_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
NAV_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
NAV_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
NAV_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
NAV_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
NAV_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
NAV_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
NAV_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
