NKV_ADJ;NKVD;NKVD;NKVD;;;;;;;;;;;x;
NKV;NKVD In Exile;NKVD In Exile;NKVD In Exile;;;;;;;;;;;x;
NKV_proletarian_dictatorship;NKVD In Exile;NKVD In Exile;NKVD In Exile;;;;;;;;;;;x;
NKV_presidential_dictatorship;NKVD In Exile;NKVD In Exile;NKVD In Exile;;;;;;;;;;;x;
NKV_bourgeois_dictatorship;NKVD In Exile;NKVD In Exile;NKVD In Exile;;;;;;;;;;;x;
NKV_fascist_dictatorship;NKVD In Exile;NKVD In Exile;NKVD In Exile;;;;;;;;;;;x;
NKV_absolute_monarchy;NKVD In Exile;NKVD In Exile;NKVD In Exile;;;;;;;;;;;x;
NKV_prussian_constitutionalism;NKVD In Exile;NKVD In Exile;NKVD In Exile;;;;;;;;;;;x;
NKV_hms_government;NKVD In Exile;NKVD In Exile;NKVD In Exile;;;;;;;;;;;x;
NKV_democracy;NKVD In Exile;NKVD In Exile;NKVD In Exile;;;;;;;;;;;x;
NKV_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
NKV_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
NKV_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
NKV_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
NKV_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
NKV_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
NKV_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
NKV_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
NKV_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
