ONE_ADJ;Finnish Garrison;Finnish Garrison;Finnish Garrison;;;;;;;;;;;x;
ONE;Onega Garrison;Onega Garrison;Onega Garrison;;;;;;;;;;;x;
ONE_proletarian_dictatorship;Onega Garrison;Onega Garrison;Onega Garrison;;;;;;;;;;;x;
ONE_presidential_dictatorship;Onega Garrison;Onega Garrison;Onega Garrison;;;;;;;;;;;x;
ONE_bourgeois_dictatorship;Onega Garrison;Onega Garrison;Onega Garrison;;;;;;;;;;;x;
ONE_fascist_dictatorship;Onega Garrison;Onega Garrison;Onega Garrison;;;;;;;;;;;x;
ONE_absolute_monarchy;Onega Garrison;Onega Garrison;Onega Garrison;;;;;;;;;;;x;
ONE_prussian_constitutionalism;Onega Garrison;Onega Garrison;Onega Garrison;;;;;;;;;;;x;
ONE_hms_government;Onega Garrison;Onega Garrison;Onega Garrison;;;;;;;;;;;x;
ONE_democracy;Onega Garrison;Onega Garrison;Onega Garrison;;;;;;;;;;;x;
ONE_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
ONE_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
ONE_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
ONE_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
ONE_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
ONE_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
ONE_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
ONE_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
ONE_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
