SUD_ADJ;Sudanese;Sudanese;Sudanese;;;;;;;;;;;x;
SUD;Sudan;Sudan;Sudan;;;;;;;;;;;x;
SUD_proletarian_dictatorship;Sudan;Sudan;Sudan;;;;;;;;;;;x;
SUD_presidential_dictatorship;Sudan;Sudan;Sudan;;;;;;;;;;;x;
SUD_bourgeois_dictatorship;Sudan;Sudan;Sudan;;;;;;;;;;;x;
SUD_fascist_dictatorship;Sudan;Sudan;Sudan;;;;;;;;;;;x;
SUD_absolute_monarchy;Sudan;Sudan;Sudan;;;;;;;;;;;x;
SUD_prussian_constitutionalism;Sudan;Sudan;Sudan;;;;;;;;;;;x;
SUD_hms_government;Sudan;Sudan;Sudan;;;;;;;;;;;x;
SUD_democracy;Sudan;Sudan;Sudan;;;;;;;;;;;x;
SUD_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
SUD_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
SUD_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
SUD_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
SUD_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
SUD_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
SUD_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
SUD_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
SUD_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
